Device_ID,Device_Type,Order_Date,Monthly_Demand,Lead_Time,Stock_Level,Supplier_Reliability,Seasonality_Factor
DEV_4287,Therapeutic,2018-01-24,569,14,614,0.92,1.0489270160024209
DEV_3759,Monitoring,2018-01-26,536,5,555,0.73,1.0033060442569008
DEV_6802,Diagnostic,2018-01-27,480,16,506,0.97,0.9938411102417655
DEV_9992,Therapeutic,2018-01-28,504,13,519,0.9,1.0035717641642743
DEV_6351,Diagnostic,2018-01-28,572,14,600,0.84,1.0129501814244093
DEV_1154,Diagnostic,2018-01-29,410,13,421,0.79,1.0341712179331495
DEV_1875,Diagnostic,2018-01-29,482,25,509,0.99,1.0191070582579982
DEV_2442,Diagnostic,2018-02-02,503,25,532,0.89,1.067860813255267
DEV_6097,Therapeutic,2018-02-03,457,13,479,0.8,1.0132104618738802
DEV_4065,Monitoring,2018-02-06,485,16,503,0.93,1.0240470719959767
DEV_2796,Therapeutic,2018-02-07,539,7,577,0.73,1.0729637353100512
DEV_8888,Surgical,2018-02-07,554,18,592,0.84,0.9941907155248448
DEV_7776,Surgical,2018-02-08,585,25,609,0.88,1.0563273672967992
DEV_8156,Therapeutic,2018-02-08,576,13,607,0.72,1.060215056592279
DEV_4103,Surgical,2018-02-09,430,19,461,0.74,1.0184525133452589
DEV_9064,Therapeutic,2018-02-10,509,3,548,0.94,1.0586889144214675
DEV_4554,Surgical,2018-02-13,577,11,601,0.81,1.06131033643295
DEV_5977,Monitoring,2018-02-15,518,28,535,0.74,0.9898329584754123
DEV_2832,Diagnostic,2018-02-15,660,18,691,0.84,1.0640145083536983
DEV_5779,Therapeutic,2018-02-15,475,19,501,0.99,1.0594930642618905
DEV_9173,Therapeutic,2018-02-17,531,9,556,0.78,1.0165974471114536
DEV_5368,Diagnostic,2018-02-18,450,3,469,0.86,1.0320459330018146
DEV_730,Therapeutic,2018-02-18,586,8,611,0.79,1.0856563821810938
DEV_9547,Monitoring,2018-02-19,490,10,516,0.71,0.9953777560812164
DEV_9643,Monitoring,2018-02-20,569,13,597,0.83,1.0420819228231766
DEV_9842,Monitoring,2018-02-20,502,6,537,0.8,1.026031141218359
DEV_4382,Monitoring,2018-02-21,621,19,665,0.94,1.0273156522849822
DEV_2090,Surgical,2018-02-25,503,14,521,0.74,1.0393127308742627
DEV_4918,Therapeutic,2018-02-26,558,6,589,0.93,1.0629090950684579
DEV_5327,Surgical,2018-02-26,540,17,581,0.74,1.0689039827952662
DEV_1973,Monitoring,2018-02-26,519,4,531,0.95,1.0737527678584484
DEV_8893,Monitoring,2018-02-28,495,28,517,0.78,0.9966703639925769
DEV_1393,Therapeutic,2018-02-28,546,3,583,0.97,1.0202996504298467
DEV_7195,Monitoring,2018-02-28,626,22,655,1.0,1.0349444442669369
DEV_8880,Diagnostic,2018-03-02,607,7,651,0.71,1.0564941766613094
DEV_7424,Surgical,2018-03-03,394,27,408,0.89,1.0118333250947877
DEV_6420,Surgical,2018-03-03,447,20,476,0.94,1.0635440162368652
DEV_9242,Diagnostic,2018-03-03,526,12,547,0.83,1.0868398183940902
DEV_9188,Monitoring,2018-03-04,630,3,667,0.8,1.0194261471800155
DEV_9100,Diagnostic,2018-03-04,518,12,540,0.91,1.0507139935192016
DEV_5685,Monitoring,2018-03-05,450,20,466,0.86,1.0259684535630484
DEV_8989,Diagnostic,2018-03-06,676,23,729,0.84,1.0241573593077429
DEV_1625,Diagnostic,2018-03-06,607,9,655,0.97,1.0861645952313648
DEV_6392,Diagnostic,2018-03-06,550,5,576,0.99,1.0285330902049483
DEV_6584,Diagnostic,2018-03-07,612,21,660,0.92,1.0046792427206266
DEV_3854,Monitoring,2018-03-07,540,3,566,0.81,1.0875893093107654
DEV_3051,Therapeutic,2018-03-08,505,21,543,0.85,1.0230929265856104
DEV_811,Monitoring,2018-03-08,472,15,491,0.74,1.0382841469340318
DEV_4327,Surgical,2018-03-10,447,26,459,0.8,1.0825225226743742
DEV_95,Diagnostic,2018-03-11,549,17,579,0.74,1.0630714870174283
DEV_5373,Therapeutic,2018-03-12,637,11,658,0.87,1.0712553671273888
DEV_2902,Diagnostic,2018-03-13,660,7,711,0.98,1.0632983091718353
DEV_6350,Surgical,2018-03-13,510,25,520,0.87,1.0345546050469818
DEV_4095,Diagnostic,2018-03-13,507,16,536,0.81,1.0492318818246311
DEV_6238,Surgical,2018-03-13,593,15,613,0.72,1.0719365123504012
DEV_3830,Therapeutic,2018-03-15,606,3,638,0.94,1.0643746702465882
DEV_8974,Monitoring,2018-03-15,613,12,627,0.79,1.0906793885085784
DEV_954,Therapeutic,2018-03-16,545,7,567,0.85,1.0100263990917457
DEV_1188,Surgical,2018-03-17,569,6,583,0.94,1.0580974236805814
DEV_4285,Monitoring,2018-03-18,594,5,636,0.93,1.0430993497400713
DEV_2372,Therapeutic,2018-03-18,562,27,603,0.81,1.0808611977296723
DEV_6365,Therapeutic,2018-03-20,542,27,582,0.78,1.0224750471085184
DEV_1117,Monitoring,2018-03-20,458,21,472,0.71,1.0580197055386262
DEV_8254,Therapeutic,2018-03-20,656,5,671,0.76,1.0557233002886504
DEV_6032,Surgical,2018-03-21,590,9,607,0.93,1.0724956646487123
DEV_3610,Therapeutic,2018-03-22,573,28,585,0.93,1.0194965591413228
DEV_2882,Surgical,2018-03-22,522,24,538,0.92,1.0060276779329087
DEV_3752,Surgical,2018-03-23,613,26,629,0.71,1.0224126548835655
DEV_4241,Therapeutic,2018-03-23,571,12,594,0.78,1.0822192929337038
DEV_7961,Diagnostic,2018-03-26,505,7,519,0.98,1.042243478303258
DEV_7663,Surgical,2018-03-27,612,14,649,0.95,1.0629047386115793
DEV_518,Diagnostic,2018-03-29,497,12,520,0.74,1.031297727428981
DEV_5930,Surgical,2018-03-31,505,23,541,0.9,1.0067671881790083
DEV_1912,Diagnostic,2018-04-02,572,15,603,0.85,1.0639123862764253
DEV_4380,Monitoring,2018-04-03,581,11,612,0.85,1.0930092534566587
DEV_5094,Diagnostic,2018-04-03,475,3,508,0.94,1.00987029791696
DEV_2361,Therapeutic,2018-04-04,554,6,572,0.79,1.0560291444776588
DEV_7926,Monitoring,2018-04-05,580,23,615,0.84,1.0689764560996864
DEV_4453,Surgical,2018-04-06,591,24,621,0.73,1.0767923558908052
DEV_3171,Monitoring,2018-04-07,625,8,666,0.91,1.0648280138174397
DEV_9038,Surgical,2018-04-09,538,4,558,0.81,1.0249450142548797
DEV_226,Diagnostic,2018-04-09,533,18,571,0.72,1.073271694443344
DEV_6623,Diagnostic,2018-04-09,615,21,648,0.74,1.0362817940180034
DEV_6938,Diagnostic,2018-04-11,671,4,707,0.87,1.0482373315133549
DEV_4519,Therapeutic,2018-04-11,561,26,575,0.89,1.0420447913205924
DEV_911,Monitoring,2018-04-11,704,6,745,0.85,1.0758796911743458
DEV_6479,Surgical,2018-04-15,561,12,585,0.79,1.033438129048857
DEV_2108,Monitoring,2018-04-15,610,5,632,0.75,1.0576695036896537
DEV_2591,Diagnostic,2018-04-15,589,21,634,0.79,0.9996505949060486
DEV_2093,Diagnostic,2018-04-16,540,15,555,0.88,0.9998503107397912
DEV_1088,Therapeutic,2018-04-16,615,8,664,0.94,1.044852356111797
DEV_8422,Monitoring,2018-04-16,571,24,603,0.94,1.046762880446912
DEV_6429,Monitoring,2018-04-16,648,8,685,0.82,1.0267609809929166
DEV_6452,Monitoring,2018-04-17,551,23,588,0.97,1.0391571770047416
DEV_8193,Surgical,2018-04-17,649,12,683,0.94,1.0208657981713705
DEV_6002,Surgical,2018-04-17,576,4,594,0.78,1.0900943701342272
DEV_4539,Monitoring,2018-04-18,592,19,627,0.86,1.0463090842678324
DEV_4122,Monitoring,2018-04-18,592,9,620,0.71,1.0291440791123883
DEV_2609,Diagnostic,2018-04-19,593,3,630,0.84,1.0194712163203563
DEV_2100,Monitoring,2018-04-20,549,25,588,0.86,1.0431092350062234
DEV_9686,Surgical,2018-04-20,583,22,597,0.83,1.037519551209152
DEV_4468,Diagnostic,2018-04-21,663,13,697,0.81,1.079155642956627
DEV_8059,Surgical,2018-04-22,695,17,715,0.95,1.0895043071224597
DEV_9718,Monitoring,2018-04-23,589,6,621,1.0,1.0071373416455518
DEV_8248,Therapeutic,2018-04-24,595,17,613,0.75,1.0803454559929528
DEV_4266,Monitoring,2018-04-25,579,20,622,0.87,1.0108562082835113
DEV_2649,Monitoring,2018-04-28,569,17,601,0.75,1.0023096886112335
DEV_538,Monitoring,2018-04-29,512,10,542,0.73,1.0199908135688702
DEV_3990,Therapeutic,2018-05-01,652,8,701,0.98,1.0849871779727773
DEV_1137,Monitoring,2018-05-01,633,22,646,0.88,1.06969085935497
DEV_744,Surgical,2018-05-03,634,29,679,0.92,1.067982607661873
DEV_4698,Surgical,2018-05-05,512,28,527,0.94,1.0311573198589867
DEV_9942,Surgical,2018-05-09,597,19,611,0.84,1.0432454297670477
DEV_9271,Diagnostic,2018-05-10,537,17,568,0.83,1.0653219228078619
DEV_8542,Surgical,2018-05-11,512,11,528,0.98,1.0011445590089005
DEV_8876,Monitoring,2018-05-11,653,23,687,0.96,1.0545727963844453
DEV_5470,Monitoring,2018-05-12,598,21,626,1.0,1.0423690755134931
DEV_1774,Therapeutic,2018-05-13,568,14,608,0.77,1.0003984326853634
DEV_8226,Diagnostic,2018-05-16,691,24,706,0.83,1.0007205764172267
DEV_141,Therapeutic,2018-05-19,595,21,609,0.71,1.0697042584583811
DEV_5143,Monitoring,2018-05-23,601,29,629,0.83,1.041673844478161
DEV_13,Monitoring,2018-05-23,674,13,704,0.71,1.0353912307346735
DEV_5329,Surgical,2018-05-24,534,26,544,0.86,1.054786919895949
DEV_3792,Diagnostic,2018-05-25,602,15,649,0.87,0.9958213161031249
DEV_2110,Diagnostic,2018-05-26,568,17,580,0.78,1.0134328612096033
DEV_2677,Surgical,2018-05-29,540,18,558,0.83,0.9807645121132751
DEV_754,Diagnostic,2018-05-29,756,14,774,0.79,1.0542311322074536
DEV_7504,Therapeutic,2018-05-29,673,11,718,0.72,1.0730554403457249
DEV_7929,Diagnostic,2018-05-30,607,28,637,0.87,1.007427184030022
DEV_6654,Therapeutic,2018-06-01,578,22,604,0.95,1.0683397219257595
DEV_568,Therapeutic,2018-06-01,578,7,617,0.75,1.0209121069843987
DEV_9285,Monitoring,2018-06-02,574,11,592,0.94,0.9943084264577032
DEV_3291,Monitoring,2018-06-03,469,15,485,0.79,1.0299194305909136
DEV_3474,Therapeutic,2018-06-04,670,26,707,0.7,1.0048255582001058
DEV_7276,Monitoring,2018-06-07,625,27,658,0.86,1.0630200951206292
DEV_5202,Monitoring,2018-06-08,574,15,601,0.93,0.9923978184460831
DEV_8530,Surgical,2018-06-10,589,5,619,0.87,1.035473937843243
DEV_664,Diagnostic,2018-06-12,603,8,639,0.98,1.030314031292643
DEV_336,Therapeutic,2018-06-14,557,13,583,0.95,1.0366199707112955
DEV_8454,Monitoring,2018-06-14,634,27,649,0.79,1.041080240308555
DEV_5629,Therapeutic,2018-06-20,577,17,606,0.95,1.0569671195310937
DEV_4942,Monitoring,2018-06-21,625,26,673,0.81,1.0492724803513032
DEV_7268,Surgical,2018-06-21,603,23,641,0.8,1.040479078268361
DEV_7611,Monitoring,2018-06-21,594,15,613,0.8,1.0452974449013268
DEV_610,Therapeutic,2018-06-22,543,9,571,0.96,1.0091008236001753
DEV_5961,Surgical,2018-06-23,663,28,700,0.95,0.9817307685165317
DEV_4504,Surgical,2018-06-24,607,9,639,0.72,0.9652949005975073
DEV_862,Surgical,2018-06-25,577,29,611,0.89,1.0138332302055306
DEV_8641,Monitoring,2018-06-26,517,25,550,0.9,0.973622138916887
DEV_9716,Surgical,2018-06-28,598,5,639,0.98,1.0373620591635186
DEV_6816,Monitoring,2018-06-29,543,25,583,0.82,0.9590269440863545
DEV_2637,Monitoring,2018-06-29,577,18,602,0.99,0.9976355674481626
DEV_8782,Diagnostic,2018-07-01,560,21,572,0.99,1.0380749117878882
DEV_8452,Monitoring,2018-07-02,616,7,640,0.84,1.0114213936567342
DEV_7401,Surgical,2018-07-03,574,15,592,0.81,0.9802824357942623
DEV_8842,Therapeutic,2018-07-04,556,22,571,0.96,1.0173279432921314
DEV_8277,Surgical,2018-07-04,604,28,647,0.84,1.0328178162788542
DEV_5309,Surgical,2018-07-04,754,5,779,0.96,1.0317376756371883
DEV_4637,Therapeutic,2018-07-05,623,11,663,0.98,1.0068841024613124
DEV_3406,Monitoring,2018-07-07,550,11,563,0.88,0.9932066957989829
DEV_9063,Therapeutic,2018-07-11,588,9,606,0.74,0.9620680947734405
DEV_1661,Monitoring,2018-07-11,556,15,579,0.75,1.0002457190627008
DEV_7108,Therapeutic,2018-07-11,560,24,585,0.83,1.0267164508216025
DEV_142,Surgical,2018-07-13,589,6,621,0.76,0.9463939275764119
DEV_5913,Monitoring,2018-07-15,521,5,534,0.72,0.9768766779691684
DEV_7451,Therapeutic,2018-07-17,602,25,626,0.77,0.9483117127165986
DEV_449,Monitoring,2018-07-23,537,27,564,0.74,0.9676648195267621
DEV_9706,Surgical,2018-07-25,584,26,599,0.99,0.9992426119078319
DEV_9784,Surgical,2018-07-26,492,18,521,0.94,0.9843528018796792
DEV_3650,Surgical,2018-07-27,586,24,611,0.75,0.9482446276106788
DEV_1529,Diagnostic,2018-07-29,675,8,689,0.79,0.9960748553421761
DEV_8764,Therapeutic,2018-07-29,634,21,671,0.71,0.9972661961198873
DEV_3288,Diagnostic,2018-07-29,545,26,564,0.72,1.0355758587993917
DEV_1255,Surgical,2018-07-31,588,24,627,0.73,0.9742044420281566
DEV_7864,Diagnostic,2018-07-31,573,22,607,0.81,0.9907106952969729
DEV_1544,Surgical,2018-08-01,647,20,662,0.86,0.9536092343396804
DEV_6008,Monitoring,2018-08-03,550,29,575,0.85,0.9983267908303821
DEV_5826,Therapeutic,2018-08-05,658,18,671,0.99,0.9882928755632515
DEV_6519,Surgical,2018-08-08,668,9,709,0.81,0.9704270204430959
DEV_687,Diagnostic,2018-08-12,713,20,743,0.85,1.0223097077985743
DEV_1752,Therapeutic,2018-08-12,555,22,585,0.84,1.025838623708472
DEV_1562,Therapeutic,2018-08-13,676,4,728,0.88,1.0069400638738406
DEV_1757,Surgical,2018-08-14,478,24,491,0.78,0.9329271320402286
DEV_6070,Therapeutic,2018-08-15,682,9,723,0.78,1.0234177259662032
DEV_3431,Monitoring,2018-08-16,497,11,531,0.96,0.9891171961637526
DEV_726,Surgical,2018-08-18,550,17,589,0.73,0.9488426198418
DEV_118,Diagnostic,2018-08-20,596,14,643,0.82,0.9401085507376513
DEV_3523,Therapeutic,2018-08-21,618,29,659,0.74,0.9502325481912828
DEV_7882,Diagnostic,2018-08-22,608,29,620,0.99,0.99666773683093
DEV_1533,Diagnostic,2018-08-22,624,17,669,0.84,0.9668229699534021
DEV_1844,Monitoring,2018-08-22,590,4,608,0.75,1.0132593291834202
DEV_3526,Surgical,2018-08-22,575,3,601,0.99,0.9625963775519277
DEV_3928,Monitoring,2018-08-23,533,18,570,0.94,0.9891359014107834
DEV_3603,Surgical,2018-08-23,614,4,662,0.82,0.9913756593912451
DEV_1564,Diagnostic,2018-08-24,609,29,644,0.77,0.9884625345203014
DEV_5646,Surgical,2018-08-25,624,20,643,0.92,0.9295575614198992
DEV_915,Therapeutic,2018-08-26,647,4,698,0.76,0.9468627911063655
DEV_2129,Monitoring,2018-08-27,582,7,608,0.8,0.9619763118173688
DEV_9522,Diagnostic,2018-08-27,534,14,550,0.72,0.9406579793834677
DEV_9117,Surgical,2018-08-30,561,25,597,0.72,1.0095475731725614
DEV_3585,Surgical,2018-08-31,655,4,684,0.96,0.9940958345829174
DEV_2656,Surgical,2018-09-01,580,11,605,0.71,0.9906718957024268
DEV_2383,Diagnostic,2018-09-02,672,5,717,0.88,0.9703196183536688
DEV_6181,Therapeutic,2018-09-02,506,3,528,0.76,0.9451877037105769
DEV_7024,Surgical,2018-09-02,556,23,574,0.85,0.9251505349158561
DEV_4695,Diagnostic,2018-09-02,617,16,663,0.83,0.9857572756036858
DEV_303,Monitoring,2018-09-04,569,5,609,0.7,1.0085303578726128
DEV_4116,Monitoring,2018-09-04,680,6,702,0.85,0.9298389783813041
DEV_2837,Diagnostic,2018-09-04,581,16,626,0.8,1.0006997948402554
DEV_5024,Monitoring,2018-09-04,615,4,662,0.88,0.9362026854800957
DEV_9531,Diagnostic,2018-09-06,584,16,600,0.9,0.982975159639621
DEV_8739,Monitoring,2018-09-06,558,7,601,0.73,0.9625597314636515
DEV_287,Surgical,2018-09-08,630,16,644,0.87,0.9854593976266928
DEV_1115,Monitoring,2018-09-08,555,13,594,0.94,0.9447380460985851
DEV_7744,Therapeutic,2018-09-10,647,22,662,0.98,1.0048081737764343
DEV_3273,Therapeutic,2018-09-11,554,16,572,0.92,0.923972417206774
DEV_8437,Therapeutic,2018-09-12,632,14,666,1.0,0.9961331377838042
DEV_4127,Diagnostic,2018-09-13,627,26,663,0.89,0.9311937077089171
DEV_4404,Monitoring,2018-09-13,556,23,590,0.88,0.9646758338093006
DEV_9641,Monitoring,2018-09-14,490,10,523,0.88,0.9201860888279498
DEV_2794,Surgical,2018-09-14,572,11,602,0.93,0.9926685818650565
DEV_2531,Diagnostic,2018-09-14,552,19,573,0.73,0.9209843988367614
DEV_2809,Surgical,2018-09-14,597,25,619,0.71,0.9781234582172885
DEV_8499,Monitoring,2018-09-14,706,24,736,0.76,0.9404772824816464
DEV_4306,Therapeutic,2018-09-16,609,17,648,0.72,0.9259617309420624
DEV_5086,Monitoring,2018-09-18,547,27,585,0.9,0.9047822686649628
DEV_388,Monitoring,2018-09-19,572,13,591,0.92,0.9443928286668366
DEV_3878,Monitoring,2018-09-22,574,25,591,0.72,0.9346110821226269
DEV_6508,Surgical,2018-09-24,612,23,648,0.96,0.9195521307998147
DEV_3973,Monitoring,2018-09-25,534,4,560,0.79,0.9078907002885992
DEV_8570,Monitoring,2018-09-25,522,13,542,0.84,0.920318763309394
DEV_8590,Therapeutic,2018-09-26,520,15,559,0.87,0.9240849225351799
DEV_2025,Surgical,2018-09-28,556,8,576,0.7,0.9057164839813358
DEV_3979,Surgical,2018-09-28,655,23,687,0.82,0.9651495409870087
DEV_2449,Therapeutic,2018-09-29,686,29,730,0.81,0.9778042693038536
DEV_5938,Therapeutic,2018-09-29,677,13,691,0.72,0.9853614752590646
DEV_6226,Surgical,2018-10-03,613,17,652,0.76,0.9806450506724523
DEV_9937,Monitoring,2018-10-03,635,29,684,0.97,0.9943216757952352
DEV_5196,Monitoring,2018-10-04,664,10,695,0.84,0.9852304148252543
DEV_3853,Monitoring,2018-10-05,536,26,566,0.82,0.916179574002859
DEV_5698,Surgical,2018-10-07,652,14,690,0.95,0.9872766877125346
DEV_9256,Diagnostic,2018-10-09,636,15,678,0.85,0.9664912172323845
DEV_801,Surgical,2018-10-10,588,9,627,0.78,0.9195534405685961
DEV_8869,Monitoring,2018-10-10,578,9,617,0.92,0.9723663435377056
DEV_8089,Therapeutic,2018-10-12,647,7,682,0.75,0.943461321233848
DEV_9377,Surgical,2018-10-13,583,7,612,0.86,0.9731356336656236
DEV_6273,Surgical,2018-10-15,624,18,672,0.91,0.9264667248112385
DEV_4667,Diagnostic,2018-10-16,679,28,723,0.79,0.9018640269354109
DEV_8322,Surgical,2018-10-17,670,12,700,0.73,0.9477323188548851
DEV_4477,Monitoring,2018-10-20,529,9,561,0.94,0.9119801728824679
DEV_1840,Surgical,2018-10-20,583,21,608,0.73,0.9042470842168777
DEV_6441,Diagnostic,2018-10-20,586,23,615,0.72,0.981299576061887
DEV_1412,Diagnostic,2018-10-22,672,16,705,0.86,0.9877730509486102
DEV_2723,Therapeutic,2018-10-23,517,17,549,0.94,0.9119734035140373
DEV_3681,Surgical,2018-10-24,685,8,732,0.88,0.9463924624866156
DEV_6575,Therapeutic,2018-10-24,696,19,726,0.73,0.9150756325727798
DEV_2112,Surgical,2018-10-26,590,22,611,0.88,0.9047347953017053
DEV_7004,Surgical,2018-10-27,600,20,621,0.78,0.9418182772748056
DEV_6736,Therapeutic,2018-10-29,626,27,639,0.91,0.9340385034540865
DEV_8074,Diagnostic,2018-10-30,596,5,640,0.82,0.9444610176086801
DEV_6027,Monitoring,2018-10-31,661,4,682,0.95,0.971570236117848
DEV_5267,Monitoring,2018-10-31,563,4,588,0.77,0.9606457158330257
DEV_8367,Surgical,2018-11-01,675,26,727,0.8,0.9959869772080979
DEV_7708,Monitoring,2018-11-02,647,8,685,0.98,0.9141177757818906
DEV_9693,Surgical,2018-11-02,682,28,701,0.85,0.9489860957943168
DEV_5113,Monitoring,2018-11-03,587,26,609,0.81,0.9231715603109378
DEV_6218,Therapeutic,2018-11-03,637,4,661,0.88,0.9873906746048502
DEV_2098,Diagnostic,2018-11-04,617,25,654,0.89,0.9452189732871681
DEV_137,Surgical,2018-11-05,616,24,630,0.78,0.9379887024861202
DEV_5411,Diagnostic,2018-11-06,709,23,738,0.92,0.9986878037708355
DEV_6250,Diagnostic,2018-11-06,559,27,599,0.72,0.9800976974958988
DEV_1017,Diagnostic,2018-11-09,606,12,635,0.96,0.9593207166891419
DEV_429,Surgical,2018-11-11,710,20,740,0.85,0.9311582347783952
DEV_532,Therapeutic,2018-11-14,633,26,665,0.76,0.9275720359265696
DEV_4383,Surgical,2018-11-15,646,11,660,0.88,0.9890056790130196
DEV_7983,Therapeutic,2018-11-15,625,8,674,0.86,1.0037274060638295
DEV_3960,Therapeutic,2018-11-15,552,18,591,0.88,0.9088949151559561
DEV_8858,Diagnostic,2018-11-16,638,15,669,0.99,0.9835171127577443
DEV_4433,Monitoring,2018-11-16,542,11,572,0.73,0.9799006397693424
DEV_1466,Diagnostic,2018-11-17,660,5,710,0.82,0.9186528661496639
DEV_4506,Monitoring,2018-11-18,685,18,705,0.84,0.9630626030080823
DEV_5229,Surgical,2018-11-21,616,7,640,0.81,0.9578562025712949
DEV_565,Therapeutic,2018-11-21,587,4,631,0.88,0.9331771734025037
DEV_2728,Surgical,2018-11-21,721,4,743,0.97,0.9195814168576394
DEV_1894,Monitoring,2018-11-22,658,11,707,0.88,0.9882972489017758
DEV_8187,Diagnostic,2018-11-22,594,3,607,0.81,1.0056481071409493
DEV_5264,Monitoring,2018-11-22,723,28,769,0.82,1.0039083857512803
DEV_1133,Diagnostic,2018-11-25,628,16,660,0.79,1.009130239145616
DEV_5566,Monitoring,2018-11-25,570,13,597,0.96,0.9260711412807601
DEV_5798,Surgical,2018-11-26,724,12,746,0.96,0.9770650266136557
DEV_3314,Surgical,2018-11-26,518,25,557,0.81,1.005385055790488
DEV_2312,Therapeutic,2018-11-26,596,15,619,0.83,0.9185833315644574
DEV_4437,Monitoring,2018-11-26,617,7,653,0.81,0.9351124034807172
DEV_4423,Surgical,2018-11-27,690,22,723,0.83,0.9758361171835686
DEV_1259,Therapeutic,2018-11-28,548,15,591,0.8,0.9161722078053448
DEV_3837,Surgical,2018-11-28,609,17,650,0.92,0.986304575994554
DEV_7462,Monitoring,2018-11-29,680,28,732,0.81,0.9543950715479466
DEV_6028,Therapeutic,2018-11-30,665,20,704,0.86,1.0095009719157861
DEV_5745,Therapeutic,2018-12-03,634,23,681,0.75,0.9254699158209245
DEV_6115,Monitoring,2018-12-04,640,4,674,0.88,0.9337055379702098
DEV_9284,Diagnostic,2018-12-06,631,8,658,0.73,0.9503545849046473
DEV_1221,Surgical,2018-12-07,605,12,641,0.71,0.9676090525889343
DEV_3924,Monitoring,2018-12-07,637,18,650,0.86,1.0079747624474358
DEV_462,Surgical,2018-12-10,668,21,715,0.85,0.9310888856226738
DEV_7638,Diagnostic,2018-12-10,694,28,716,0.78,1.0047099169789153
DEV_7495,Diagnostic,2018-12-14,686,3,713,0.86,0.9740289513779865
DEV_4144,Monitoring,2018-12-14,616,25,630,0.83,0.9672864561128791
DEV_9098,Surgical,2018-12-14,607,5,650,0.96,1.015052754481317
DEV_5934,Therapeutic,2018-12-15,661,22,685,0.95,0.9487618652806383
DEV_2240,Surgical,2018-12-16,631,6,656,0.83,0.9768156503147716
DEV_689,Monitoring,2018-12-17,667,12,684,0.82,0.9972127431676474
DEV_2643,Surgical,2018-12-19,625,15,672,0.85,1.0024822388567625
DEV_4525,Diagnostic,2018-12-19,697,17,747,0.72,1.007048079608454
DEV_5159,Surgical,2018-12-21,648,6,669,0.8,0.9663694068592936
DEV_5867,Monitoring,2018-12-21,588,8,622,0.98,0.9471682851675018
DEV_585,Diagnostic,2018-12-21,643,21,669,0.74,1.0083361691964983
DEV_1152,Surgical,2018-12-22,706,29,748,0.71,1.0292293307678488
DEV_5247,Surgical,2018-12-23,740,18,791,0.73,1.0032510388340579
DEV_1824,Therapeutic,2018-12-23,609,8,639,0.93,1.004479705998683
DEV_8295,Therapeutic,2018-12-24,694,29,746,0.85,0.9564141101995872
DEV_3306,Surgical,2018-12-25,667,22,696,0.85,0.9607159119426892
DEV_1896,Monitoring,2018-12-25,703,11,739,0.89,1.0239893192755072
DEV_7958,Therapeutic,2018-12-29,748,6,777,0.73,1.0299653018812611
DEV_6314,Monitoring,2018-12-29,638,23,675,0.78,1.0018371210876345
DEV_34,Diagnostic,2018-12-30,650,25,666,0.72,0.9968823164857047
DEV_2737,Monitoring,2018-12-31,693,3,710,0.71,0.985478148790657
DEV_347,Monitoring,2018-12-31,665,15,715,0.85,0.9597267864856612
DEV_2630,Monitoring,2018-12-31,588,4,612,0.86,0.9738889576659817
DEV_8487,Diagnostic,2019-01-02,738,5,788,0.73,1.0219425491385987
