Monthly_Demand,Lead_Time,Stock_Level,Supplier_Reliability,Seasonality_Factor,Year,Month,Day,Weekday,Quarter,Device_Type_Monitoring,Device_Type_Surgical,Device_Type_Therapeutic
533,18,571,0.72,1.073271694443344,2018,4,9,3,2,0.0,0.0,0.0
615,21,648,0.74,1.0362817940180034,2018,4,9,3,2,0.0,0.0,0.0
671,4,707,0.87,1.0482373315133549,2018,4,11,5,2,0.0,0.0,0.0
561,26,575,0.89,1.0420447913205924,2018,4,11,5,2,0.0,0.0,1.0
704,6,745,0.85,1.0758796911743458,2018,4,11,5,2,1.0,0.0,0.0
561,12,585,0.79,1.033438129048857,2018,4,15,2,2,0.0,1.0,0.0
610,5,632,0.75,1.0576695036896535,2018,4,15,2,2,1.0,0.0,0.0
589,21,634,0.79,0.9996505949060486,2018,4,15,2,2,0.0,0.0,0.0
540,15,555,0.88,0.9998503107397912,2018,4,16,3,2,0.0,0.0,0.0
615,8,664,0.94,1.044852356111797,2018,4,16,3,2,0.0,0.0,1.0
571,24,603,0.94,1.046762880446912,2018,4,16,3,2,1.0,0.0,0.0
648,8,685,0.82,1.0267609809929166,2018,4,16,3,2,1.0,0.0,0.0
551,23,588,0.97,1.0391571770047416,2018,4,17,4,2,1.0,0.0,0.0
649,12,683,0.94,1.0208657981713705,2018,4,17,4,2,0.0,1.0,0.0
576,4,594,0.78,1.0900943701342272,2018,4,17,4,2,0.0,1.0,0.0
592,19,627,0.86,1.0463090842678324,2018,4,18,5,2,1.0,0.0,0.0
592,9,620,0.71,1.0291440791123885,2018,4,18,5,2,1.0,0.0,0.0
593,3,630,0.84,1.0194712163203563,2018,4,19,6,2,0.0,0.0,0.0
549,25,588,0.86,1.0431092350062234,2018,4,20,7,2,1.0,0.0,0.0
583,22,597,0.83,1.037519551209152,2018,4,20,7,2,0.0,1.0,0.0
663,13,697,0.81,1.079155642956627,2018,4,21,1,2,0.0,0.0,0.0
695,17,715,0.95,1.0895043071224595,2018,4,22,2,2,0.0,1.0,0.0
589,6,621,1.0,1.0071373416455518,2018,4,23,3,2,1.0,0.0,0.0
595,17,613,0.75,1.0803454559929528,2018,4,24,4,2,0.0,0.0,1.0
579,20,622,0.87,1.0108562082835113,2018,4,25,5,2,1.0,0.0,0.0
569,17,601,0.75,1.0023096886112337,2018,4,28,1,2,1.0,0.0,0.0
512,10,542,0.73,1.0199908135688702,2018,4,29,2,2,1.0,0.0,0.0
652,8,701,0.98,1.084987177972777,2018,5,1,4,2,0.0,0.0,1.0
633,22,646,0.88,1.06969085935497,2018,5,1,4,2,1.0,0.0,0.0
634,29,679,0.92,1.067982607661873,2018,5,3,6,2,0.0,1.0,0.0
512,28,527,0.94,1.0311573198589867,2018,5,5,1,2,0.0,1.0,0.0
597,19,611,0.84,1.0432454297670477,2018,5,9,5,2,0.0,1.0,0.0
537,17,568,0.83,1.065321922807862,2018,5,10,6,2,0.0,0.0,0.0
512,11,528,0.98,1.0011445590089003,2018,5,11,7,2,0.0,1.0,0.0
653,23,687,0.96,1.0545727963844451,2018,5,11,7,2,1.0,0.0,0.0
598,21,626,1.0,1.0423690755134931,2018,5,12,1,2,1.0,0.0,0.0
568,14,608,0.77,1.0003984326853634,2018,5,13,2,2,0.0,0.0,1.0
691,24,706,0.83,1.000720576417227,2018,5,16,5,2,0.0,0.0,0.0
595,21,609,0.71,1.0697042584583811,2018,5,19,1,2,0.0,0.0,1.0
601,29,629,0.83,1.041673844478161,2018,5,23,5,2,1.0,0.0,0.0
674,13,704,0.71,1.0353912307346735,2018,5,23,5,2,1.0,0.0,0.0
534,26,544,0.86,1.054786919895949,2018,5,24,6,2,0.0,1.0,0.0
602,15,649,0.87,0.9958213161031249,2018,5,25,7,2,0.0,0.0,0.0
568,17,580,0.78,1.0134328612096033,2018,5,26,1,2,0.0,0.0,0.0
540,18,558,0.83,0.9807645121132752,2018,5,29,4,2,0.0,1.0,0.0
756,14,774,0.79,1.0542311322074536,2018,5,29,4,2,0.0,0.0,0.0
673,11,718,0.72,1.0730554403457249,2018,5,29,4,2,0.0,0.0,1.0
607,28,637,0.87,1.007427184030022,2018,5,30,5,2,0.0,0.0,0.0
578,22,604,0.95,1.0683397219257595,2018,6,1,7,2,0.0,0.0,1.0
578,7,617,0.75,1.0209121069843987,2018,6,1,7,2,0.0,0.0,1.0
574,11,592,0.94,0.9943084264577032,2018,6,2,1,2,1.0,0.0,0.0
469,15,485,0.79,1.0299194305909136,2018,6,3,2,2,1.0,0.0,0.0
670,26,707,0.7,1.0048255582001058,2018,6,4,3,2,0.0,0.0,1.0
625,27,658,0.86,1.0630200951206292,2018,6,7,6,2,1.0,0.0,0.0
574,15,601,0.93,0.9923978184460832,2018,6,8,7,2,1.0,0.0,0.0
589,5,619,0.87,1.035473937843243,2018,6,10,2,2,0.0,1.0,0.0
603,8,639,0.98,1.030314031292643,2018,6,12,4,2,0.0,0.0,0.0
557,13,583,0.95,1.0366199707112955,2018,6,14,6,2,0.0,0.0,1.0
634,27,649,0.79,1.041080240308555,2018,6,14,6,2,1.0,0.0,0.0
577,17,606,0.95,1.0569671195310937,2018,6,20,5,2,0.0,0.0,1.0
625,26,673,0.81,1.0492724803513032,2018,6,21,6,2,1.0,0.0,0.0
603,23,641,0.8,1.040479078268361,2018,6,21,6,2,0.0,1.0,0.0
594,15,613,0.8,1.0452974449013268,2018,6,21,6,2,1.0,0.0,0.0
543,9,571,0.96,1.0091008236001753,2018,6,22,7,2,0.0,0.0,1.0
663,28,700,0.95,0.9817307685165316,2018,6,23,1,2,0.0,1.0,0.0
607,9,639,0.72,0.9652949005975072,2018,6,24,2,2,0.0,1.0,0.0
577,29,611,0.89,1.0138332302055306,2018,6,25,3,2,0.0,1.0,0.0
517,25,550,0.9,0.973622138916887,2018,6,26,4,2,1.0,0.0,0.0
598,5,639,0.98,1.0373620591635186,2018,6,28,6,2,0.0,1.0,0.0
543,25,583,0.82,0.9590269440863544,2018,6,29,7,2,1.0,0.0,0.0
577,18,602,0.99,0.9976355674481626,2018,6,29,7,2,1.0,0.0,0.0
560,21,572,0.99,1.0380749117878882,2018,7,1,2,3,0.0,0.0,0.0
616,7,640,0.84,1.0114213936567342,2018,7,2,3,3,1.0,0.0,0.0
574,15,592,0.81,0.9802824357942624,2018,7,3,4,3,0.0,1.0,0.0
556,22,571,0.96,1.0173279432921314,2018,7,4,5,3,0.0,0.0,1.0
604,28,647,0.84,1.0328178162788542,2018,7,4,5,3,0.0,1.0,0.0
754,5,779,0.96,1.0317376756371883,2018,7,4,5,3,0.0,1.0,0.0
623,11,663,0.98,1.0068841024613124,2018,7,5,6,3,0.0,0.0,1.0
550,11,563,0.88,0.9932066957989828,2018,7,7,1,3,1.0,0.0,0.0
588,9,606,0.74,0.9620680947734404,2018,7,11,5,3,0.0,0.0,1.0
556,15,579,0.75,1.0002457190627008,2018,7,11,5,3,1.0,0.0,0.0
560,24,585,0.83,1.0267164508216025,2018,7,11,5,3,0.0,0.0,1.0
589,6,621,0.76,0.946393927576412,2018,7,13,7,3,0.0,1.0,0.0
521,5,534,0.72,0.9768766779691684,2018,7,15,2,3,1.0,0.0,0.0
602,25,626,0.77,0.9483117127165986,2018,7,17,4,3,0.0,0.0,1.0
537,27,564,0.74,0.967664819526762,2018,7,23,3,3,1.0,0.0,0.0
584,26,599,0.99,0.999242611907832,2018,7,25,5,3,0.0,1.0,0.0
492,18,521,0.94,0.9843528018796792,2018,7,26,6,3,0.0,1.0,0.0
586,24,611,0.75,0.9482446276106788,2018,7,27,7,3,0.0,1.0,0.0
675,8,689,0.79,0.996074855342176,2018,7,29,2,3,0.0,0.0,0.0
634,21,671,0.71,0.9972661961198872,2018,7,29,2,3,0.0,0.0,1.0
545,26,564,0.72,1.0355758587993915,2018,7,29,2,3,0.0,0.0,0.0
588,24,627,0.73,0.9742044420281566,2018,7,31,4,3,0.0,1.0,0.0
573,22,607,0.81,0.9907106952969728,2018,7,31,4,3,0.0,0.0,0.0
647,20,662,0.86,0.9536092343396804,2018,8,1,5,3,0.0,1.0,0.0
550,29,575,0.85,0.998326790830382,2018,8,3,7,3,1.0,0.0,0.0
658,18,671,0.99,0.9882928755632516,2018,8,5,2,3,0.0,0.0,1.0
668,9,709,0.81,0.970427020443096,2018,8,8,5,3,0.0,1.0,0.0
713,20,743,0.85,1.0223097077985743,2018,8,12,2,3,0.0,0.0,0.0
555,22,585,0.84,1.025838623708472,2018,8,12,2,3,0.0,0.0,1.0
676,4,728,0.88,1.0069400638738406,2018,8,13,3,3,0.0,0.0,1.0
478,24,491,0.78,0.9329271320402286,2018,8,14,4,3,0.0,1.0,0.0
682,9,723,0.78,1.0234177259662032,2018,8,15,5,3,0.0,0.0,1.0
497,11,531,0.96,0.9891171961637526,2018,8,16,6,3,1.0,0.0,0.0
550,17,589,0.73,0.9488426198418,2018,8,18,1,3,0.0,1.0,0.0
596,14,643,0.82,0.9401085507376512,2018,8,20,3,3,0.0,0.0,0.0
618,29,659,0.74,0.9502325481912828,2018,8,21,4,3,0.0,0.0,1.0
608,29,620,0.99,0.99666773683093,2018,8,22,5,3,0.0,0.0,0.0
624,17,669,0.84,0.966822969953402,2018,8,22,5,3,0.0,0.0,0.0
590,4,608,0.75,1.0132593291834202,2018,8,22,5,3,1.0,0.0,0.0
575,3,601,0.99,0.9625963775519276,2018,8,22,5,3,0.0,1.0,0.0
533,18,570,0.94,0.9891359014107834,2018,8,23,6,3,1.0,0.0,0.0
614,4,662,0.82,0.9913756593912452,2018,8,23,6,3,0.0,1.0,0.0
609,29,644,0.77,0.9884625345203014,2018,8,24,7,3,0.0,0.0,0.0
624,20,643,0.92,0.9295575614198992,2018,8,25,1,3,0.0,1.0,0.0
647,4,698,0.76,0.9468627911063656,2018,8,26,2,3,0.0,0.0,1.0
582,7,608,0.8,0.9619763118173688,2018,8,27,3,3,1.0,0.0,0.0
534,14,550,0.72,0.9406579793834676,2018,8,27,3,3,0.0,0.0,0.0
561,25,597,0.72,1.0095475731725614,2018,8,30,6,3,0.0,1.0,0.0
655,4,684,0.96,0.9940958345829174,2018,8,31,7,3,0.0,1.0,0.0
580,11,605,0.71,0.9906718957024268,2018,9,1,1,3,0.0,1.0,0.0
672,5,717,0.88,0.9703196183536688,2018,9,2,2,3,0.0,0.0,0.0
506,3,528,0.76,0.9451877037105768,2018,9,2,2,3,0.0,0.0,1.0
556,23,574,0.85,0.925150534915856,2018,9,2,2,3,0.0,1.0,0.0
617,16,663,0.83,0.9857572756036858,2018,9,2,2,3,0.0,0.0,0.0
569,5,609,0.7,1.0085303578726128,2018,9,4,4,3,1.0,0.0,0.0
680,6,702,0.85,0.929838978381304,2018,9,4,4,3,1.0,0.0,0.0
581,16,626,0.8,1.0006997948402554,2018,9,4,4,3,0.0,0.0,0.0
615,4,662,0.88,0.9362026854800956,2018,9,4,4,3,1.0,0.0,0.0
584,16,600,0.9,0.982975159639621,2018,9,6,6,3,0.0,0.0,0.0
558,7,601,0.73,0.9625597314636516,2018,9,6,6,3,1.0,0.0,0.0
630,16,644,0.87,0.9854593976266928,2018,9,8,1,3,0.0,1.0,0.0
555,13,594,0.94,0.9447380460985852,2018,9,8,1,3,1.0,0.0,0.0
647,22,662,0.98,1.0048081737764345,2018,9,10,3,3,0.0,0.0,1.0
554,16,572,0.92,0.923972417206774,2018,9,11,4,3,0.0,0.0,1.0
632,14,666,1.0,0.9961331377838042,2018,9,12,5,3,0.0,0.0,1.0
627,26,663,0.89,0.9311937077089172,2018,9,13,6,3,0.0,0.0,0.0
556,23,590,0.88,0.9646758338093006,2018,9,13,6,3,1.0,0.0,0.0
490,10,523,0.88,0.9201860888279498,2018,9,14,7,3,1.0,0.0,0.0
572,11,602,0.93,0.9926685818650564,2018,9,14,7,3,0.0,1.0,0.0
552,19,573,0.73,0.9209843988367614,2018,9,14,7,3,0.0,0.0,0.0
597,25,619,0.71,0.9781234582172884,2018,9,14,7,3,0.0,1.0,0.0
706,24,736,0.76,0.9404772824816464,2018,9,14,7,3,1.0,0.0,0.0
609,17,648,0.72,0.9259617309420624,2018,9,16,2,3,0.0,0.0,1.0
547,27,585,0.9,0.9047822686649628,2018,9,18,4,3,1.0,0.0,0.0
572,13,591,0.92,0.9443928286668366,2018,9,19,5,3,1.0,0.0,0.0
574,25,591,0.72,0.9346110821226268,2018,9,22,1,3,1.0,0.0,0.0
612,23,648,0.96,0.9195521307998148,2018,9,24,3,3,0.0,1.0,0.0
534,4,560,0.79,0.9078907002885992,2018,9,25,4,3,1.0,0.0,0.0
522,13,542,0.84,0.920318763309394,2018,9,25,4,3,1.0,0.0,0.0
520,15,559,0.87,0.92408492253518,2018,9,26,5,3,0.0,0.0,1.0
556,8,576,0.7,0.9057164839813358,2018,9,28,7,3,0.0,1.0,0.0
655,23,687,0.82,0.9651495409870088,2018,9,28,7,3,0.0,1.0,0.0
686,29,730,0.81,0.9778042693038536,2018,9,29,1,3,0.0,0.0,1.0
677,13,691,0.72,0.9853614752590646,2018,9,29,1,3,0.0,0.0,1.0
613,17,652,0.76,0.9806450506724524,2018,10,3,5,4,0.0,1.0,0.0
635,29,684,0.97,0.9943216757952352,2018,10,3,5,4,1.0,0.0,0.0
664,10,695,0.84,0.9852304148252544,2018,10,4,6,4,1.0,0.0,0.0
536,26,566,0.82,0.916179574002859,2018,10,5,7,4,1.0,0.0,0.0
652,14,690,0.95,0.9872766877125346,2018,10,7,2,4,0.0,1.0,0.0
636,15,678,0.85,0.9664912172323844,2018,10,9,4,4,0.0,0.0,0.0
588,9,627,0.78,0.919553440568596,2018,10,10,5,4,0.0,1.0,0.0
578,9,617,0.92,0.9723663435377056,2018,10,10,5,4,1.0,0.0,0.0
647,7,682,0.75,0.943461321233848,2018,10,12,7,4,0.0,0.0,1.0
583,7,612,0.86,0.9731356336656236,2018,10,13,1,4,0.0,1.0,0.0
624,18,672,0.91,0.9264667248112384,2018,10,15,3,4,0.0,1.0,0.0
679,28,723,0.79,0.9018640269354108,2018,10,16,4,4,0.0,0.0,0.0
670,12,700,0.73,0.9477323188548852,2018,10,17,5,4,0.0,1.0,0.0
529,9,561,0.94,0.911980172882468,2018,10,20,1,4,1.0,0.0,0.0
583,21,608,0.73,0.9042470842168776,2018,10,20,1,4,0.0,1.0,0.0
586,23,615,0.72,0.981299576061887,2018,10,20,1,4,0.0,0.0,0.0
672,16,705,0.86,0.9877730509486102,2018,10,22,3,4,0.0,0.0,0.0
517,17,549,0.94,0.9119734035140372,2018,10,23,4,4,0.0,0.0,1.0
685,8,732,0.88,0.9463924624866156,2018,10,24,5,4,0.0,1.0,0.0
696,19,726,0.73,0.9150756325727798,2018,10,24,5,4,0.0,0.0,1.0
590,22,611,0.88,0.9047347953017052,2018,10,26,7,4,0.0,1.0,0.0
600,20,621,0.78,0.9418182772748056,2018,10,27,1,4,0.0,1.0,0.0
626,27,639,0.91,0.9340385034540865,2018,10,29,3,4,0.0,0.0,1.0
596,5,640,0.82,0.94446101760868,2018,10,30,4,4,0.0,0.0,0.0
661,4,682,0.95,0.971570236117848,2018,10,31,5,4,1.0,0.0,0.0
563,4,588,0.77,0.9606457158330256,2018,10,31,5,4,1.0,0.0,0.0
675,26,727,0.8,0.995986977208098,2018,11,1,6,4,0.0,1.0,0.0
647,8,685,0.98,0.9141177757818906,2018,11,2,7,4,1.0,0.0,0.0
682,28,701,0.85,0.9489860957943168,2018,11,2,7,4,0.0,1.0,0.0
587,26,609,0.81,0.9231715603109378,2018,11,3,1,4,1.0,0.0,0.0
637,4,661,0.88,0.9873906746048502,2018,11,3,1,4,0.0,0.0,1.0
617,25,654,0.89,0.945218973287168,2018,11,4,2,4,0.0,0.0,0.0
616,24,630,0.78,0.9379887024861202,2018,11,5,3,4,0.0,1.0,0.0
709,23,738,0.92,0.9986878037708355,2018,11,6,4,4,0.0,0.0,0.0
559,27,599,0.72,0.9800976974958988,2018,11,6,4,4,0.0,0.0,0.0
606,12,635,0.96,0.959320716689142,2018,11,9,7,4,0.0,0.0,0.0
710,20,740,0.85,0.9311582347783952,2018,11,11,2,4,0.0,1.0,0.0
633,26,665,0.76,0.9275720359265696,2018,11,14,5,4,0.0,0.0,1.0
646,11,660,0.88,0.9890056790130196,2018,11,15,6,4,0.0,1.0,0.0
625,8,674,0.86,1.0037274060638297,2018,11,15,6,4,0.0,0.0,1.0
552,18,591,0.88,0.908894915155956,2018,11,15,6,4,0.0,0.0,1.0
638,15,669,0.99,0.9835171127577444,2018,11,16,7,4,0.0,0.0,0.0
542,11,572,0.73,0.9799006397693424,2018,11,16,7,4,1.0,0.0,0.0
660,5,710,0.82,0.918652866149664,2018,11,17,1,4,0.0,0.0,0.0
685,18,705,0.84,0.9630626030080824,2018,11,18,2,4,1.0,0.0,0.0
616,7,640,0.81,0.9578562025712948,2018,11,21,5,4,0.0,1.0,0.0
587,4,631,0.88,0.9331771734025036,2018,11,21,5,4,0.0,0.0,1.0
721,4,743,0.97,0.9195814168576394,2018,11,21,5,4,0.0,1.0,0.0
658,11,707,0.88,0.9882972489017758,2018,11,22,6,4,1.0,0.0,0.0
594,3,607,0.81,1.005648107140949,2018,11,22,6,4,0.0,0.0,0.0
723,28,769,0.82,1.0039083857512805,2018,11,22,6,4,1.0,0.0,0.0
628,16,660,0.79,1.009130239145616,2018,11,25,2,4,0.0,0.0,0.0
570,13,597,0.96,0.92607114128076,2018,11,25,2,4,1.0,0.0,0.0
724,12,746,0.96,0.9770650266136556,2018,11,26,3,4,0.0,1.0,0.0
518,25,557,0.81,1.005385055790488,2018,11,26,3,4,0.0,1.0,0.0
596,15,619,0.83,0.9185833315644574,2018,11,26,3,4,0.0,0.0,1.0
617,7,653,0.81,0.9351124034807172,2018,11,26,3,4,1.0,0.0,0.0
690,22,723,0.83,0.9758361171835686,2018,11,27,4,4,0.0,1.0,0.0
548,15,591,0.8,0.9161722078053448,2018,11,28,5,4,0.0,0.0,1.0
609,17,650,0.92,0.986304575994554,2018,11,28,5,4,0.0,1.0,0.0
680,28,732,0.81,0.9543950715479466,2018,11,29,6,4,1.0,0.0,0.0
665,20,704,0.86,1.009500971915786,2018,11,30,7,4,0.0,0.0,1.0
634,23,681,0.75,0.9254699158209244,2018,12,3,3,4,0.0,0.0,1.0
640,4,674,0.88,0.9337055379702098,2018,12,4,4,4,1.0,0.0,0.0
631,8,658,0.73,0.9503545849046472,2018,12,6,6,4,0.0,0.0,0.0
605,12,641,0.71,0.9676090525889344,2018,12,7,7,4,0.0,1.0,0.0
637,18,650,0.86,1.0079747624474358,2018,12,7,7,4,1.0,0.0,0.0
